,Airport Name,Country,City,Latitude,Longitude
FLN,Hercilio Luz,Brazil,Florianopolis,-27.670489,-48.547181
FLO,Florence,United States,Florence,34.185361,-79.723889
FLP,Flippin,United States,Flippin,36.290894,-92.590253
FLR,Peretola,Italy,Florence,43.809953,11.2051
FLS,Flinders Island,Australia,Flinders Island,-40.090278,147.993333
FLT,Flat,United States,Flat,62.452649,-157.98907
FLU,Flushing,United States,New York,40.779268,-73.832912
FLV,Sherman AAF,United States,Fort Leavenworth,39.368332,-94.914686
FLW,Santa Cruz,Portugal,Flores Island,39.455272,-31.131361
FLX,Municipal,United States,Fallon,39.499083,-118.74875
FLY,Finley,Australia,Finley,-35.658611,145.561667
FMA,El Pucu,Argentina,Formosa,-26.212722,-58.228111
FMC,Five Mile,United States,Five Mile,65.927043,-149.840078
FME,Tipton AAF,Haiti,Fort Meade,39.085387,-76.759414
FMG,Flamingo,Costa Rica,Flamingo,10.433,-85.783
FMH,Otis AFB,United States,Falmouth,41.65913,-70.522814
FMI,Kalemie,Democratic Republic Of Congo,Kalemie,-5.875556,29.25
FMN,Municipal,United States,Farmington,36.74125,-108.229944
FMO,Greven,Germany,Muenster/Osnabrueck,52.134642,7.684831
FMS,Municipal,United States,Fort Madison,40.659108,-91.327747
FMY,Page Field,United States,Fort Myers,26.586611,-81.86325
FNA,Lungi International,Sierra Leone,Freetown,8.616444,-13.195489
FNB,Neubrandenburg,Germany,Neubrandenburg,53.602,13.306
FNC,Madeira,Portugal,Funchal,32.697889,-16.774453
FNE,Fane,Papua New Guinea,Fane,-8.55,147.083
FNG,Fada Ngourma,Burkina Faso,Fada Ngourma,12.040556,0.364167
FNH,Fincha,Ethiopia,Fincha,9.583,37.35
FNI,Garons,France,Nimes,43.7575,4.416389
FNJ,Sunan International,Korea (North),Pyongyang,39.224061,125.67015
FNK,Fin Creek,United States,Fin Creek,69.5,-147.58333333333
FNL,Municipal Airport,United States,Fort Collins/Loveland,40.451827,-105.011336
FNR,SPB,United States,Funter Bay,58.254386,-134.897907
FNT,Bishop International Airport,United States,Flint,42.965417,-83.743667
FOA,Foula,United Kingdom,Foula,60.121,-2.052
FOB,Fort Bragg,United States,Fort Bragg,39.474333,-123.795571
FOC,Fuzhou,China,Fuzhou,25.935064,119.663272
FOD,Fort Dodge Regional,United States,"Fort Dodge, IA",42.551194,-94.191833
FOE,Forbes Field,United States,"Topeka, KS",38.950944,-95.663611
FOG,Gino Lisa,Italy,Foggia,41.432917,15.535028
FOK,Suffolk County,United States,Westhampton,40.843655,-72.631789
FOM,Foumban,Cameroon,Foumban,5.636919,10.750817
FON,Fortuna,Haiti,Fortuna,10.474444,-84.581667
FOO,Numfoor,Indonesia,Numfoor,-0.936325,134.871889
FOP,Morris AAF,United States,Forest Park,0.0,0.0
FOR,Pinto Martins,Brazil,Fortaleza,-3.776283,-38.532556
FOS,Forrest,Australia,Forrest,-30.838056,128.115
FOT,Forster,Australia,Forster,-32.201943,152.481389
FOU,Fougamou,Gabon,Fougamou,-1.283,10.617
FOX,Fox,United States,Fox,64.85,-147.76666666667
FOY,Foya,Liberia,Foya,8.367,-10.217
FPR,St Lucie County,United States,Fort Pierce,27.497479,-80.372632
FPY,Perry-Foley,United States,Perry,30.069278,-83.580583
FRA,Frankfurt International Airport (rhein-main),Germany,Frankfurt,50.026421,8.543125
FRB,Forbes,Australia,Forbes,-33.363611,147.935
FRC,Franca,Brazil,Franca,-20.592214,-47.382925
FRD,Friday Harbor,United States,Friday Harbor,48.521972,-123.024361
FRE,Fera Island,Solomon Islands,Fera Island,-8.1075,159.577222
FRF,Rhein-Main AFB,Germany,Frankfurt,52.040333,11.202833
FRG,Republic Field,United States,Farmingdale,40.728778,-73.413417
FRH,Municipal,United States,French Lick,38.506222,-86.636944
FRI,Marshall AAF,United States,"Fort Riley, KS",39.052641,-96.764488
FRJ,Frejus,France,Frejus,43.416666666667,6.733333333333
FRK,Fregate Is,Seychelles,Fregate Is,-4.583,55.95
FRL,Luigi Ridolfi,Italy,Forli,44.194753,12.070094
FRM,Fairmont,United States,Fairmont,43.643944,-94.415611
FRN,Bryant AAF,Haiti,Fort Richardson,61.262508,-149.654704
FRO,Flora,Norway,Floro,61.583611,5.024722
FRP,Fresh Water Bay,United States,Fresh Water Bay,57.845833333333,-135.025
FRQ,Feramin,Papua New Guinea,Feramin,-5.2,141.7
FRR,Front Royal-Warren County,United States,"Front Royal, (VA)",38.917538,-78.253383
FRS,Santa Elena,Guatemala,Flores,16.913819,-89.866383
FRT,Frutillar,Bolivia,Frutillar,-41.117,-73.05
FRU,Manas,Kyrgyzstan,Bishkek,43.061306,74.477556
FRW,Francistown,Botswana,Francistown,-21.159597,27.474525
FRY,Fryeburg,United States,Fryeburg,43.991145,-70.947874
FRZ,Fritzlar Airbase,Germany,Fritzlar,51.115,9.286
FSC,Sud Corse,France,Figari,41.502222,9.096667
FSD,Joe Foss Field Airport,United States,Sioux Falls,43.582013,-96.741914
FSI,Henry Post AAF,United States,Fort Sill,34.649833,-98.402167
FSK,Municipal,United States,Fort Scott,37.798361,-94.769361
FSL,Fossil Downs,Australia,Fossil Downs,-18.2,125.75
FSM,Regional,United States,Fort Smith,35.336583,-94.367444
FSN,Haley AAF,Haiti,Fort Sheridan,19.833333333333,-72.5
FSP,Saint-pierre Pointe-blanche,St. Pierre and Miquelon,St Pierre,46.763056,-56.174167
FSS,Kinloss,United Kingdom,Forres,57.649386,-3.560636
FST,Pecos County,United States,Fort Stockton,30.91525,-102.912778
FSU,Fort Sumner,United States,Fort Sumner,34.483399,-104.217197
FTA,Futuna Airport,Australia,Futuna Island,-19.516389,170.231944
